,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8906,1,1,2021-08-15T20:57:02.000Z,46719.17707560954,29902789779.004528,0.84595844,0.14727476,6.52040034,46.57449678,20.93303432,4.3049572,2021-08-15 20:57:02+00:00
1,Litecoin,LTC,litecoin,710,1,13,2021-08-15T20:57:02.000Z,183.52820519839,2457185728.702601,0.74409754,2.68143818,23.50064697,48.24164997,9.00347239,-37.03592882,2021-08-15 20:57:02+00:00
2,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-15T20:57:03.000Z,0.32208620717338,6287157675.616858,0.12809534,12.13473724,33.71190316,83.78262466,3.73127522,-35.16091342,2021-08-15 20:57:03+00:00
3,Monero,XMR,monero,161,1,29,2021-08-15T20:57:04.000Z,270.41829634577897,177582233.67650345,0.78246663,0.83188603,3.65744328,38.71090704,1.89136496,-23.15610176,2021-08-15 20:57:04+00:00
4,Ethereum,ETH,ethereum,5586,1,2,2021-08-15T20:57:02.000Z,3261.244430322009,20647708513.517933,1.8479657,0.92172627,9.01831808,71.17404432,35.58951681,-5.2324316,2021-08-15 20:57:02+00:00
5,Cardano,ADA,cardano,287,1,3,2021-08-15T20:56:07.000Z,2.1855814046428,5994879340.13588,2.56628311,0.62479427,53.78906455,83.98866704,44.55676539,3.15049957,2021-08-15 20:56:07+00:00
6,Bitcoin,BTC,bitcoin,8906,1,1,2021-08-15T21:04:02.000Z,46781.3646806504,29999549335.757885,0.94029388,0.24111793,6.33013221,47.00656661,21.41799637,5.06625312,2021-08-15 21:04:02+00:00
7,Litecoin,LTC,litecoin,710,1,13,2021-08-15T21:04:02.000Z,183.7546771418132,2456819599.220639,0.92894093,2.71224526,23.1293867,48.47893333,9.44424385,-36.11410321,2021-08-15 21:04:02+00:00
8,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-15T21:04:03.000Z,0.3260674737742,6424036129.59702,1.99980855,13.53463043,34.20980001,86.65667473,5.1079317,-33.87200755,2021-08-15 21:04:03+00:00
9,Monero,XMR,monero,161,1,29,2021-08-15T21:04:04.000Z,270.3295414635615,177008017.39314342,0.59471477,0.74280708,3.3158865,38.74650648,2.20888881,-22.60607523,2021-08-15 21:04:04+00:00
