,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
245,Cardano,ADA,cardano,291,1,5,2021-08-18T00:19:08.000Z,1.94863040160694,3858913676.569112,0.18029837,-4.86981208,15.54381515,64.63105844,37.01107694,26.8299696,2021-08-18 00:19:08+00:00
246,Bitcoin,BTC,bitcoin,8907,1,1,2021-08-18T00:24:02.000Z,44811.16595735668,33358700960.854176,0.29541403,-1.77926247,-1.41425196,40.9781499,25.06891347,19.50693513,2021-08-18 00:24:02+00:00
247,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:24:02.000Z,169.2835288724783,2208545205.14768,0.01049752,-3.90818154,2.17782911,41.51269203,7.70527997,-11.06051498,2021-08-18 00:24:02+00:00
248,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:24:03.000Z,0.30069882637144,5703729308.264056,0.52739228,-3.94734719,17.1276692,64.74066857,2.27244025,-10.1928535,2021-08-18 00:24:03+00:00
249,Monero,XMR,monero,161,1,29,2021-08-18T00:24:04.000Z,258.7781756708869,207970055.91554523,1.06941425,-2.36965987,-2.74626209,29.51477304,-4.05507833,25.14790452,2021-08-18 00:24:04+00:00
250,Ethereum,ETH,ethereum,5582,1,2,2021-08-18T00:24:02.000Z,3023.4338918676626,25480467585.12189,0.27111481,-3.64173502,-3.7581721,59.08587652,34.61665423,22.53996915,2021-08-18 00:24:02+00:00
251,Cardano,ADA,cardano,291,1,5,2021-08-18T00:23:08.000Z,1.94097431807105,3824998335.1047816,0.04615184,-5.46818518,15.8435139,64.18874014,36.58121964,29.06310465,2021-08-18 00:23:08+00:00
252,Bitcoin,BTC,bitcoin,8907,1,1,2021-08-18T00:29:02.000Z,44769.71280794496,33127230973.74856,-0.00405368,-1.46714065,-1.78675398,40.92291114,24.86401996,20.50118248,2021-08-18 00:29:02+00:00
253,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:29:02.000Z,169.2575259420888,2190128516.333296,-0.33438322,-3.00561782,1.96443144,41.50033684,7.62838404,-8.56872858,2021-08-18 00:29:02+00:00
254,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:29:03.000Z,0.30135173543406,5648513566.57743,0.13835389,-3.01737868,16.88000816,64.28455827,2.54211477,-8.34135912,2021-08-18 00:29:03+00:00
255,Monero,XMR,monero,161,1,29,2021-08-18T00:29:04.000Z,258.1511849014192,205550072.0483009,0.25090996,-1.55795053,-3.42997268,29.57691933,-4.25133972,26.47456533,2021-08-18 00:29:04+00:00
256,Ethereum,ETH,ethereum,5582,1,2,2021-08-18T00:29:02.000Z,3020.945818414463,25363484729.40231,-0.23560522,-3.42364543,-4.23650545,59.03288905,34.2601504,24.99938041,2021-08-18 00:29:02+00:00
257,Cardano,ADA,cardano,291,1,5,2021-08-18T00:28:08.000Z,1.94507661643927,3794058649.669804,0.13643206,-4.92691165,16.29908297,64.71060455,36.59456601,31.36236498,2021-08-18 00:28:08+00:00
258,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:34:02.000Z,44678.51593761656,33001699347.92577,-0.56749048,-2.02656436,-2.34798548,40.75863639,24.68536181,21.09525551,2021-08-18 00:34:02+00:00
259,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:34:02.000Z,168.5142985842325,2180979682.519956,-1.42077215,-4.08497255,1.26570716,41.41221837,7.21121847,-4.72195221,2021-08-18 00:34:02+00:00
260,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:34:03.000Z,0.29849406506182,5594967348.758012,-1.7719286,-4.78678051,15.60782505,63.00247039,1.50095045,-8.41115861,2021-08-18 00:34:03+00:00
261,Monero,XMR,monero,161,1,29,2021-08-18T00:34:04.000Z,256.2262468336879,202726586.9530361,-1.06461724,-2.9839128,-4.24726414,28.65405734,-4.93111475,27.75933235,2021-08-18 00:34:04+00:00
262,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:34:02.000Z,3012.7167159541136,25245316993.41057,-0.94414511,-4.12814898,-4.73906917,58.81423147,33.98308043,26.75522756,2021-08-18 00:34:02+00:00
263,Cardano,ADA,cardano,291,1,5,2021-08-18T00:33:13.000Z,1.93311623828044,3781489548.002953,-1.34319673,-6.20366421,15.30040613,63.92804758,35.80427804,32.79039749,2021-08-18 00:33:13+00:00
264,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:39:02.000Z,44605.15939119268,32940994761.58178,-0.67460486,-2.02453575,-2.20487898,40.67547613,24.19566299,22.83813358,2021-08-18 00:39:02+00:00
265,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:39:02.000Z,167.4786384172559,2177488396.919275,-1.89731706,-4.12387392,0.80436558,41.20040564,6.60739501,-6.04822248,2021-08-18 00:39:02+00:00
266,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:39:03.000Z,0.29631173549921,5565046984.930803,-2.07948905,-4.93522967,15.22214602,62.09675627,0.63332523,-6.34615745,2021-08-18 00:39:03+00:00
267,Monero,XMR,monero,161,1,29,2021-08-18T00:39:04.000Z,254.51906370941555,202323525.8568853,-1.26962937,-3.10931278,-4.73889305,27.89465015,-5.82558623,31.85331362,2021-08-18 00:39:04+00:00
268,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:39:02.000Z,3003.5331920193894,25231809508.7664,-1.06383428,-3.96659593,-4.74367262,58.52821358,33.51236285,30.01384962,2021-08-18 00:39:02+00:00
269,Cardano,ADA,cardano,291,1,5,2021-08-18T00:38:08.000Z,1.9274494405617,3773742858.69756,-1.29593233,-5.79018255,15.18186062,63.61773643,35.36281828,36.04794144,2021-08-18 00:38:08+00:00
270,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:44:02.000Z,44601.53298433365,32912024484.99458,-0.21213635,-2.02781838,-2.48215294,40.93444607,24.42971908,24.16184437,2021-08-18 00:44:02+00:00
271,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:44:02.000Z,165.90714116602277,2175151461.6656337,-1.90840494,-4.97827516,-0.34675407,40.05972089,5.49718782,-2.1891308,2021-08-18 00:44:02+00:00
272,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:44:03.000Z,0.29283923322692,5556260129.017842,-2.12287231,-6.08129034,13.24336798,61.5507458,-0.46659757,-5.72531533,2021-08-18 00:44:03+00:00
273,Monero,XMR,monero,161,1,29,2021-08-18T00:44:04.000Z,254.52999839476345,202582794.0236373,-0.79211997,-3.17117446,-4.89278388,28.39879582,-6.13290601,34.04780374,2021-08-18 00:44:04+00:00
274,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:44:02.000Z,2995.1664568018814,25264701659.070583,-0.75447478,-4.04629384,-5.18569488,58.44698796,33.18773433,31.76068198,2021-08-18 00:44:02+00:00
275,Cardano,ADA,cardano,291,1,5,2021-08-18T00:43:08.000Z,1.90512715048995,3760177975.144405,-1.55859926,-6.55979599,13.51067564,62.41260519,33.82989547,35.78521544,2021-08-18 00:43:08+00:00
276,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:49:02.000Z,44652.40126429929,32979312421.07364,-0.18423838,-2.23239427,-2.46264687,41.27483457,24.67425306,24.81203298,2021-08-18 00:49:02+00:00
277,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:49:02.000Z,165.95969773756232,2183001125.758073,-1.97678768,-5.41380835,-0.61043279,40.56474337,5.34387637,-3.80543655,2021-08-18 00:49:02+00:00
278,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:49:03.000Z,0.29285865831044,5598310571.071953,-2.32536371,-6.87491669,12.87176571,62.11794905,-0.22990344,-4.36192992,2021-08-18 00:49:03+00:00
279,Monero,XMR,monero,161,1,29,2021-08-18T00:49:04.000Z,255.1738219735032,204021288.3143028,-0.74012345,-3.32005624,-4.81880909,28.95139708,-5.81425614,34.05547024,2021-08-18 00:49:04+00:00
