,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-16T20:59:02.000Z,46062.453463881015,33336899035.19128,-0.12052307,-1.48204131,1.2332321,45.04642457,21.95028321,6.3600535,2021-08-16 20:59:02+00:00
1,Litecoin,LTC,litecoin,713,1,14,2021-08-16T20:59:02.000Z,179.4070948312243,2508850546.4830422,-0.62214559,-2.22204391,9.23452266,47.86044857,8.98433188,-39.12964425,2021-08-16 20:59:02+00:00
2,Dogecoin,DOGE,dogecoin,382,1,7,2021-08-16T20:59:03.000Z,0.32469226123317,7996256974.042526,0.99965565,0.02514284,29.34885917,71.69076238,6.13270147,-31.89106513,2021-08-16 20:59:03+00:00
3,Monero,XMR,monero,161,1,29,2021-08-16T20:59:04.000Z,271.5638984703619,235893461.6941273,-0.58960847,0.40892302,2.62717734,37.54771858,-0.63407268,-20.75198272,2021-08-16 20:59:04+00:00
4,Ethereum,ETH,ethereum,5589,1,2,2021-08-16T20:59:02.000Z,3168.0128516029795,23767624252.04837,-0.18972346,-3.02494999,3.00598171,66.63834818,35.15152761,-7.79492526,2021-08-16 20:59:02+00:00
5,Cardano,ADA,cardano,289,1,4,2021-08-16T20:58:08.000Z,2.09644108978365,4701603574.725431,-0.67868189,-4.35554577,43.48462888,77.24202684,42.94523683,4.14426246,2021-08-16 20:58:08+00:00
6,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-16T21:04:02.000Z,46042.94499821997,33264266964.74706,0.40343137,-1.57844836,1.01964689,45.20815471,22.07745695,5.88392846,2021-08-16 21:04:02+00:00
7,Litecoin,LTC,litecoin,713,1,14,2021-08-16T21:04:02.000Z,179.97452597394482,2511484729.4069924,0.32953993,-2.05717276,9.27137977,48.40213826,9.33248437,-39.37040742,2021-08-16 21:04:02+00:00
8,Dogecoin,DOGE,dogecoin,382,1,7,2021-08-16T21:04:03.000Z,0.32353817739787,7907615860.538176,2.91276783,-0.77569723,27.95443679,71.36741158,5.94220017,-32.54825885,2021-08-16 21:04:03+00:00
9,Monero,XMR,monero,161,1,29,2021-08-16T21:04:04.000Z,271.4854528031816,236629143.7924581,0.29358438,0.42759342,2.15163112,37.77582813,-0.58910076,-21.15381104,2021-08-16 21:04:04+00:00
10,Ethereum,ETH,ethereum,5589,1,2,2021-08-16T21:04:02.000Z,3162.399177319246,23647874629.267536,0.17474471,-3.15539451,2.78847473,66.73300703,34.99831464,-8.61979951,2021-08-16 21:04:02+00:00
11,Cardano,ADA,cardano,289,1,4,2021-08-16T21:03:12.000Z,2.09647215667694,4679908404.38318,-0.10049398,-4.28538019,43.06560254,77.50808107,42.95177658,3.63230759,2021-08-16 21:03:12+00:00
12,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-16T21:09:02.000Z,45986.18294846365,33261754739.256668,0.3727146,-1.68610147,0.99315563,44.93186478,22.10616858,5.7070971,2021-08-16 21:09:02+00:00
13,Litecoin,LTC,litecoin,713,1,14,2021-08-16T21:09:02.000Z,179.53538338136457,2510104048.38292,0.57500387,-2.3108421,8.98713381,47.80898747,9.30849719,-39.60716661,2021-08-16 21:09:02+00:00
14,Dogecoin,DOGE,dogecoin,382,1,7,2021-08-16T21:09:03.000Z,0.32184058503527,7872199676.102614,2.18788692,-2.06904016,27.89109343,69.02160831,5.47339869,-33.03681252,2021-08-16 21:09:03+00:00
15,Monero,XMR,monero,161,1,29,2021-08-16T21:09:04.000Z,270.89195649060406,236730025.2614552,0.59255906,0.16504763,2.0772988,37.30055571,-0.69914055,-21.27261323,2021-08-16 21:09:04+00:00
16,Ethereum,ETH,ethereum,5589,1,2,2021-08-16T21:09:02.000Z,3159.0036930140054,23640890165.563328,0.25275877,-3.05816491,2.72581571,66.38637201,35.00532399,-8.68516631,2021-08-16 21:09:02+00:00
17,Cardano,ADA,cardano,289,1,4,2021-08-16T21:08:08.000Z,2.0983280014153,4669494020.606287,1.17113915,-4.08147847,42.7767097,77.34644891,43.2511394,3.68406238,2021-08-16 21:08:08+00:00
18,Bitcoin,BTC,bitcoin,8909,1,1,2021-08-16T21:14:02.000Z,46030.21153830415,33289484131.37828,0.28447741,-1.61298599,1.48070515,44.97709089,22.38928088,6.05005319,2021-08-16 21:14:02+00:00
19,Litecoin,LTC,litecoin,713,1,14,2021-08-16T21:14:02.000Z,179.4530976974754,2508017737.1535945,0.37754358,-2.35976171,9.71595193,47.66488653,9.3607945,-39.60698551,2021-08-16 21:14:02+00:00
20,Dogecoin,DOGE,dogecoin,382,1,7,2021-08-16T21:14:03.000Z,0.32225602232077,7856727676.902516,1.47296152,-1.52190303,28.5691424,67.60377156,5.69659342,-32.80099071,2021-08-16 21:14:03+00:00
21,Monero,XMR,monero,161,1,29,2021-08-16T21:14:04.000Z,270.87443776837193,237979225.9467941,0.3700427,0.11732336,2.48952767,37.25811208,-0.61157053,-21.11823518,2021-08-16 21:14:04+00:00
