id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
1027,Ethereum,ETH,ethereum,5602,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117092586.1865,117092586.1865,1,,2,0,2021-08-13T21:03:02.000Z,3280.701197845084,24056594288.50968,1.67376189,7.43503083,12.59845022,64.56923692,28.26855095,-13.92576566,384145787760.8292,19.3606,384145787760.83,2021-08-13T21:03:02.000Z
2010,Cardano,ADA,cardano,286,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32112332686.738,32982237587.058,1,,4,0,2021-08-13T21:02:07.000Z,2.04377505559967,7154287325.330237,2.66685059,15.66293486,45.44424041,61.01797183,31.75370323,-10.79471196,65630384522.27305,3.311,91969877501.98,2021-08-13T21:02:07.000Z
1,Bitcoin,BTC,bitcoin,8911,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18785018.0,18785018.0,1,,1,0,2021-08-13T21:07:02.000Z,47637.76301922353,31224824984.77475,0.80193947,7.49732007,11.76935179,45.09267304,18.26560804,-1.54403814,894876235795.8484,45.101,1000393023403.69,2021-08-13T21:07:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,13,0,2021-08-13T21:07:02.000Z,181.29350207146703,2537282854.660409,1.32226603,9.963564,22.14332186,37.94557363,3.44489494,-41.5058082,12101815257.92124,0.6099,15228654174.0,2021-08-13T21:07:02.000Z
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130840692977.98906,130840692977.98906,1,,7,0,2021-08-13T21:07:03.000Z,0.28233704428498,3408059865.08751,1.44573088,7.77788005,37.04850894,42.83106468,-13.48512832,-45.10499224,36941174527.60397,1.8618,36941174527.6,2021-08-13T21:07:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17972524.09237574,17972524.09237574,1,,28,0,2021-08-13T21:07:04.000Z,268.3608291244889,224705916.11846867,-0.05784695,4.01239113,3.59302042,33.80708021,-1.44657067,-32.18799488,4823121466.889806,0.2431,4823121466.89,2021-08-13T21:07:04.000Z
1027,Ethereum,ETH,ethereum,5602,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117092586.1865,117092586.1865,1,,2,0,2021-08-13T21:07:02.000Z,3278.455845120643,24039144150.14986,0.68789872,7.43871096,12.78706823,64.52584057,27.68566437,-13.84052193,383882873603.4236,19.3468,383882873603.42,2021-08-13T21:07:02.000Z
2010,Cardano,ADA,cardano,286,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32112332686.738,32982237587.058,1,,4,0,2021-08-13T21:06:07.000Z,2.04428513131171,7127407950.06914,2.19242389,16.73415778,45.56906176,61.15015256,30.55666384,-10.23315063,65646764243.23351,3.3085,91992830909.03,2021-08-13T21:06:07.000Z
1,Bitcoin,BTC,bitcoin,8911,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18785018.0,18785018.0,1,,1,0,2021-08-13T21:13:02.000Z,47776.94413586507,31328378387.65008,0.5416234,7.56821462,11.98727954,45.53142751,18.84708351,-1.3481881,897490755577.2198,45.2313,1003315826853.17,2021-08-13T21:13:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,13,0,2021-08-13T21:13:02.000Z,181.73989386878915,2538978729.531545,0.15950372,9.72687073,22.36957426,38.29537385,3.82469671,-41.39411087,12131613077.490711,0.6114,15266151084.98,2021-08-13T21:13:02.000Z
