,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
0,Bitcoin,BTC,bitcoin,8939,1,1,2021-08-13T13:19:02.000Z,46621.91328594989,30110839532.62928,0.64063667,4.54390448,13.99848844,42.51123915,15.49483438,-4.93964445,2021-08-13 13:19:02+00:00
1,Litecoin,LTC,litecoin,710,1,12,2021-08-13T13:19:02.000Z,181.2512048130436,2190324317.493078,0.1076502,8.68930002,24.41737699,39.31506513,5.97777458,-42.04304786,2021-08-13 13:19:02+00:00
2,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-13T13:19:03.000Z,0.27866119893274,3814042312.009781,0.44774785,4.22425908,38.74474468,40.26321047,-14.94883974,-46.99897821,2021-08-13 13:19:03+00:00
3,Monero,XMR,monero,161,1,29,2021-08-13T13:19:04.000Z,269.91860457916766,229002721.41560176,0.86222797,2.85309003,1.65822448,33.47832883,2.11142452,-36.36022545,2021-08-13 13:19:04+00:00
4,Ethereum,ETH,ethereum,5609,1,2,2021-08-13T13:19:02.000Z,3239.449958404544,25138390883.38852,0.32616295,4.49752924,16.60954359,63.7405517,28.06620989,-17.08806268,2021-08-13 13:19:02+00:00
5,Cardano,ADA,cardano,286,1,4,2021-08-13T13:18:07.000Z,2.04320719561247,6630972202.731451,0.13951788,16.22665309,48.51622643,61.84631312,31.73574056,-9.48544043,2021-08-13 13:18:07+00:00
6,Bitcoin,BTC,bitcoin,8939,1,1,2021-08-13T13:24:02.000Z,46649.94268012939,30171882804.38409,0.59274343,4.309974,13.76320335,42.56234969,14.95337878,-4.93285213,2021-08-13 13:24:02+00:00
7,Litecoin,LTC,litecoin,710,1,12,2021-08-13T13:24:02.000Z,181.3380833870933,2191737458.6155767,-0.08394289,8.37785133,24.59374519,39.51974462,5.81200494,-41.96434751,2021-08-13 13:24:02+00:00
8,Dogecoin,DOGE,dogecoin,379,1,7,2021-08-13T13:24:03.000Z,0.27875797670632,3818194561.0782943,0.21081716,3.70568325,38.7171766,40.4475666,-15.90010574,-47.17483411,2021-08-13 13:24:03+00:00
9,Monero,XMR,monero,161,1,29,2021-08-13T13:24:04.000Z,269.92305927359183,228911671.51972103,0.76327259,2.55931514,1.50976365,33.19679336,1.81786274,-36.17277792,2021-08-13 13:24:04+00:00
