id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
1,Bitcoin,BTC,bitcoin,8909,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000,18786950.0,18786950.0,1,,1,0,2021-08-15T16:25:02.000Z,46145.84984172518,29371078173.755928,0.36116963,-1.50133343,4.35114581,43.62987349,18.07204949,6.28522513,866939773683.9989,44.2696,969062846676.23,2021-08-15T16:25:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000,66752614.51538747,66752614.51538747,1,,13,0,2021-08-15T16:25:02.000Z,181.53924518973173,2365890137.8273897,1.36956515,0.16770618,19.41746629,45.5384617,8.3893493,-34.18357976,12118219253.564571,0.6188,15249296595.94,2021-08-15T16:25:02.000Z
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130868317235.56277,130868317235.56277,1,,7,0,2021-08-15T16:25:03.000Z,0.30538024883994,5234305010.782678,1.79317917,5.27157062,21.26744439,68.70556848,-1.79328106,-37.14078252,39964599282.66037,2.0408,39964599282.66,2021-08-15T16:25:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17973673.22382658,17973673.22382658,1,,29,0,2021-08-15T16:25:04.000Z,265.77683791963364,169781789.73916334,0.70421499,-2.24172729,-2.60548453,35.38034356,-2.79122316,-23.4118731,4776986035.229416,0.2439,4776986035.23,2021-08-15T16:25:04.000Z
1027,Ethereum,ETH,ethereum,5593,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117117270.3115,117117270.3115,1,,2,0,2021-08-15T16:25:02.000Z,3159.3275170855413,19064534734.84221,0.18990424,-3.05770998,3.4639776,63.80812609,29.90578113,-4.4360631,370011814821.06744,18.8944,370011814821.07,2021-08-15T16:25:02.000Z
2010,Cardano,ADA,cardano,287,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000,32112296277.336,33005080086.445,1,,4,0,2021-08-15T16:24:07.000Z,2.10559982888706,6094585313.380219,-0.26246353,-4.70760231,44.52494048,72.89725021,39.20606421,2.45914349,67615645546.729256,3.4503,94751992299.92,2021-08-15T16:24:07.000Z
